Concepto,Prisma (nombre exacto),Startrack (nombre exacto),ECON (nombre exacto),Nota
Unidad física de maquinaria,"Equipo.no_activo, Equipo.clave, Equipo.nombre; «No. de activo», «Nombre del equipo»","StartrackVehicle.id, description, vin; «Descripción», «ID remoto»","EquipmentRecord.asset_number, code, name","«Maquinaria/equipo» y «vehículo/activo rastreado» son objetos de plataformas distintas. CF-03 aparece en no_activo y en description, pero el kit no declara unicidad ni clave foránea; vin es el identificador remoto de Startrack, no no_activo. clave=null con no_activo con texto es un caso real y se conserva separado."
Identificador técnico de la unidad,Equipo.id (UUID),StartrackVehicle.id,EquipmentRecord.id con prefijo nexus:equipment:; UUID original en provenance.source_id,Tres espacios de identificadores distintos. El prefijo evita colisiones locales; no es un ID de proveedor.
Clase o tipo de la maquinaria,"Equipo.clase_equipo; Solicitud.tipo; «Clase de equipo», «Tipo»",«Tipo» de vehículo del diccionario del kit — sin contrato público consultado (StartrackVehicle no expone tipo),EquipmentRecord.equipment_class; RequestRecord.machinery_type,Es una categoría de máquina. No es job_type_id: «Cargador frontal» no se convierte en el tipo de tarea «Traslado».
Tipo de tarea,Sin equivalente,"StartrackJob.job_type_id; job_type_remote_id (*documentado, no leído*); catálogo StartrackJobType.id, name, remote_id, deactivated; «Tipo» del formulario",TransferMapping.job_type_id,"Categoría del trabajo, del catálogo GET /api/job/type (ejemplos publicados: Venta, Revision de equipos, Mantenimiento, Pedido, Visita). Distinta de clase_equipo aunque ambas pantallas se rotulen «Tipo». job_type_remote_id permite referir el tipo por un ID externo propio."
"Operador, motorista, conductor o usuario asignable","Operador.id, Operador.nombre, Operador.cod_trabajador (MOT-xxx); Equipo.associated_operators; operator_id del cuerpo de aprobación; «Solicita», «Conductor»","StartrackUser.id, name; StartrackVehicle.driver_id; StartrackVisit.driver_id; StartrackJob.assigned_user_ids; assigned_user_remote_ids (*documentado, no leído*); «Asignar a»","EquipmentOperator.id, name, worker_code; TransferMapping.assigned_user_ids","Cuatro roles distintos: persona en Prisma, conductor del activo, usuario que ejecuta la tarea y firmante de la visita. La correspondencia se hace por el código documentado MOT-xxx, nunca por nombre; un UUID de operador no es un StartrackUser.id. assigned_user_remote_ids es la vía documentada para asignar por ID externo y es la candidata natural para el código MOT-xxx, pendiente de confirmar con el proveedor."
Solicitante y aprobador,"Solicitud.requested_by_user_id, requested_by_name, approved_by_user_id, approved_by_name",created_by (RO; usuario que creó la tarea),"RequestRecord.requested_by_id, requested_by, approved_by_user_id, approved_by","Quien pide y quien aprueba en Prisma no son el usuario que ejecuta la tarea, ni el creador de la tarea, ni el receptor."
Proyecto,"Solicitud.project_id, project_name; Proyecto.id, name; «Proyecto»",Sin campo de proyecto en el Job Data Object,"RequestRecord.project_id, project_name; Movement.project_source_id",El proyecto llega a Startrack solo convertido en destino (POI) y en texto del título.
"Geocerca, POI o destino",Sin equivalente,"StartrackJob.poi_id; poi_name (*documentado, no leído*); catálogo StartrackPoi.id, name, remote_id; «geocerca_id», «Nombre», «Destino»",TransferMapping.poi_id,"Prisma no tiene geocercas. La correspondencia proyecto↔POI es manual y por ID; el nombre compartido PROY-014 - The Hub - Proyecto Xi - La Unión es una pista del ejercicio, no una clave. POI.remote_id tiene unicidad documentada por cliente; Job.remote_id, no. El objeto público tiene una sola geocerca: poi_name es su nombre, no un segundo destino."
Origen del traslado,"Equipo.project_id es asignación administrativa, no punto de salida",«Origen» del formulario — sin contrato público consultado (el Job Data Object solo tiene poi_id),Sin campo,No inventar origin_poi_id. Un traslado con origen explícito exigiría modelar una segunda operación.
Solicitud de maquinaria,Solicitud.id (UUID); «Solicitudes de maquinaria»,Sin equivalente,RequestRecord.provenance.source_id; Movement.request_source_id; RequestRecord.id con prefijo nexus:request:,Una solicitud no es una tarea; puede originar varios movimientos.
Tarea de traslado,Sin equivalente,StartrackJob.id; «tarea_id»,Movement.id (local) y Movement.job_id (ID devuelto por Startrack),"Tres identificadores para tres objetos: solicitud, movimiento local y tarea remota."
Referencia externa de la tarea,Sin campo de referencia de movimiento en la solicitud,StartrackJob.remote_id; «ID remoto» (IDR en el listado),Movement.movement_reference → StartrackTaskDraft.remote_id,"Es una referencia creada en ECON, no un UUID de solicitud renombrado. El proveedor no publica unicidad de Job.remote_id."
