Campo Prisma,Modelo de ECON,Relación real con Startrack
Solicitud.id,RequestRecord.provenance.source_id; id con prefijo; Movement.request_source_id.,Trazabilidad en descripción y almacenamiento local; no es Job.id.
"Solicitud.project_id, project_name","RequestRecord.project_id, project_name.",Destino solo mediante mapeo a POI; nombre para presentación.
Solicitud.maquinaria_id,RequestRecord.machinery_id con prefijo.,Vincula el equipo por UUID; no asigna un vehicle_id a Job.
"Solicitud.maquinaria_no_activo, maquinaria_nombre, maquinaria_clave","Campos expandidos de la respuesta, no una segunda entidad normalizada. ECON consulta el equipo por su UUID.",No resuelven identidad Startrack por texto.
Solicitud.tipo,RequestRecord.machinery_type.,Clase solicitada; no job_type_id.
"Solicitud.fecha_inicio, fecha_fin","RequestRecord.starts_on, ends_on.",Período de uso; no fechas de entrega.
"Solicitud.requested_by_user_id, requested_by_name","RequestRecord.requested_by_id, requested_by.","Solicitante; no usuario ejecutor, autor de Job ni receptor."
Solicitud.status,RequestRecord.status.,Aprobación como condición previa; no traducción a estado de tarea.
Solicitud.comentarios,RequestRecord.comments.,Contexto preservado; el borrador actual no lo transmite.
"Solicitud.created_at, updated_at, approved_at",Mismos nombres en RequestRecord.,"Instantes de Prisma, distintos de creación/cierre del Job."
"Solicitud.approved_by_user_id, approved_by_name",RequestRecord.approved_by_user_id y approved_by conservan el aprobador tal como lo informa Prisma.,Trazabilidad del aprobador; no sustituirlo por solicitante.
Solicitud.org_id / Equipo.org_id,Fuera de los DTO mínimos.,No equivale a Startrack.client_id; actualmente la operación se acota por proveedor y sandbox.
"Equipo.id, clave, no_activo, nombre","provenance.source_id, code, asset_number, name.",UUID técnico separado de las etiquetas; texto derivado para título. clave=null permanece distinto de no_activo.
"Equipo.empresa, clase_equipo","company, equipment_class.","No son cliente, grupo, etiqueta ni tipo de tarea Startrack."
"Equipo.project_id, project_name",Mismos nombres en EquipmentRecord.,Asignación administrativa. No demuestran presencia en una geocerca.
Equipo.estado,EquipmentRecord.machinery_status.,Sin equivalencia con Job.status ni con estado GPS.
"Equipo.active_failure_id, active_failure_status, active_failure_is_paro","maintenance_failure_id, maintenance_status, maintenance_is_stopped.",Restricción de mantenimiento independiente del traslado. null/ausente no se convierte en false.
"Equipo.created_at, updated_at",Mismos nombres en EquipmentRecord.,No son observación GPS ni lectura actual.
"Equipo.marca, modelo, anio",Fuera del DTO actual.,Posibles atributos descriptivos de un vehículo; solo después de confirmar identidad. No se sincronizan.
"Equipo.fecha_inicio_uso, fecha_fin_uso, observaciones_asignacion","EquipmentRecord.assignment_starts_on, assignment_ends_on, assignment_note.",Hechos de asignación; no programación del traslado.
"Equipo.line_item_id, assigned_line_item, assigned_personnel",Fuera del DTO actual.,"Partida/personal de obra; no artículos, formularios o asignados de Job."
Equipo.associated_operators del detalle,"EquipmentRecord.operators (id, nombre, worker_code MOT-xxx, activo) solo en la lectura de detalle; None cuando la lectura acotada no lo cubrió.","La correspondencia con el conductor de Startrack se hace por el código MOT-xxx documentado, nunca por nombre; no es un ID de usuario Startrack."
"Equipo.precio_x_hora, minimum_usage_hours, catalog_precio_x_hora, current_project_rate, project_rates, effective_precio_x_hora",Solo current_project_rate se conserva como EquipmentRecord.project_rate; el resto queda fuera del DTO.,"Tarifas y vigencias; no precio de artículo, duración del Job ni costo de traslado."
"Equipo.motivo_baja, fecha_baja, mantenimiento_fecha_inicio, mantenimiento_fecha_fin, mantenimiento_notas, occupied_without_project, fallas_count",Fuera del DTO actual; algunos aparecen solo en listado o detalle.,Información adicional de inventario/mantenimiento; no debe reducirse a estado de tarea.
"Proyecto.id, name, status, description, start_date, end_date, project_manager_user_id, manager_name, fechas de auditoría/archivo",Sin lector: no existe un DTO NexusProject en nexus.py (corrección del 13/09/2026) y /api/projects no se consulta. El nodo project de GET /api/v1/graph se deriva de las referencias project_id de solicitudes y equipos y queda referenced_only.,Catálogo administrativo; correspondencia con POI requiere decisión independiente.
"Presupuestos, avance, cliente, notas e indicadores de Proyecto",Fuera de los DTO leídos.,Sin destino definido en Job; no se fabrican costos de artículos ni porcentajes operativos.
"Operador.id, nombre, cod_trabajador, is_active, created_at, updated_at",NexusOperatorLink solo dentro del detalle de equipo (associated_operators → EquipmentRecord.operators); el catálogo de operadores no se lee.,No prueba usuario Startrack asignable ni conductor del activo rastreado.
"Historial: gps_latitude, gps_longitude, gps_accuracy_meters, gps_captured_at","Ruta documentada de historial, no leída por el conector actual. Ejemplo con valores nulos.",Posición de un evento de Prisma; no origen actual ni recepción.
