Requisito,Qué exige el brief,Evidencia en el repo (archivo o ruta exacta),Dónde lo ve el jurado (URL de la app o documento),Estado,Brecha y acción
RF-01,"Inventario de cualquier campo o término nuevo generado a partir del diccionario y dataset sandbox de Prisma y Startrack: nombre de campo, tipo de dato y ejemplo de valor.","docs/diccionario-modelo-econ.md, generado por scripts/docs/generar_diccionario.py desde apps/api/app/models/hub.py, operations.py, workflow.py, graph.py, indicators.py y suggestions.py (nombre o JSONPath, tipo JSON, obligatorio, ejemplo con clase de evidencia, significado, procedencia); --check en scripts/check.sh y .github/workflows/ci.yml. Nombres equivalentes en el glosario de docs/equivalencias-prisma-startrack.md (output/matrices/glosario-sinonimos.csv, 36 conceptos).","Documento docs/diccionario-modelo-econ.md; Swagger /docs (esquemas HubResponse, GraphProjection, IndicatorsReport, AssignmentSuggestion con descripción por campo); output/matrices/glosario-sinonimos.csv.",cumple,"El inventario cubre los modelos propios y sus derivaciones, no los DTO de los proveedores ni las 51 definiciones del kit (esas se cotejan en RF-02). Acción: regenerar con generar_diccionario.py tras cada cambio de modelo; CI falla si no coincide."
RF-02,"Matriz de mapeo que conecte cada campo relevante de una plataforma con su equivalente en la otra, marcando explícitamente los campos sin equivalente directo.","docs/equivalencias-prisma-startrack.md: clasificaciones directa, transformada, manual, sin equivalente y no soportada; formulario de tarea en cinco secciones; otros campos API del Job; inventario Prisma que no viaja; identidad y cardinalidad; inconsistencias del kit. Exportada a 16 CSV y output/matrices/matrices-econ.xlsx (manifiesto con SHA-256). Traza campo a campo en apps/api/app/services/integration_trace.py (field_map, tratamiento Conservado, Transformado, Manual o Sin equivalente) con pruebas en apps/api/tests/test_integration_trace.py.",/integracion?mode=fixture (bloque «Mapeo campo a campo»); GET /api/v1/integration/{request_id} (field_map); output/matrices/formulario-tarea-completo.csv y otros-campos-api-tarea.csv; dossier output/pdf/ECON-entregables-visuales.pdf.,parcial,"Falta el cotejo fila a fila de las 51 definiciones del diccionario del kit (12 Prisma, 39 Startrack) contra la matriz, y las correspondencias proyecto a geocerca, máquina a vehículo y operador a usuario no están validadas en la cuenta (la clave API de Startrack respondió 403). Acción: tabla de cotejo por fila del kit incluida en la exportación y validación autenticada; no inventar correspondencias."
RF-03,"Matriz de responsabilidades que defina, para al menos tres roles funcionales, quién es Responsable, quién Aprueba, a quién se Consulta y a quién se Informa sobre el estado de un equipo (formato RACI recomendable).","RACI de nueve decisiones en docs/equivalencias-prisma-startrack.md (sección «Responsabilidades propuestas para confirmar»: Gerencia de Proyecto, Logística y Equipo, Mantenimiento, Operador, Control de Costos, Soporte de integración, Responsable receptor) exportada a output/matrices/raci-propuesta.csv. Implementada como roles de sesión en apps/api/app/core/auth.py (admin, logistica, gerencia_proyecto, mantenimiento, control_costos, lectura; permisos read, manage_transfers, declare_reception, manage_users; docs/adr/0005-session-auth-and-roles.md) y actor registrado en operation_events.actor_* y en la recepción declared_by_* (migración 0004_guards, apps/api/migrations/versions/0004_movement_guards_actors_and_indexes.py).","/administracion (solo admin: alta de usuarios por rol); iniciar sesión con un usuario lectura y abrir /operaciones (sin acciones de gestión); /operaciones/{id} (actor de cada transición); output/matrices/raci-propuesta.csv; dossier PDF, páginas 2 a 4.",cumple,"La RACI es una propuesta pendiente de validación por las tres gerencias; el rol de sesión aplica permisos y registra quién actuó, no acredita esa aprobación. Acción: validar con ECON y fijar la denominación («Logística y Equipo» frente a «Maquinaria y Equipo» del organigrama)."
RF-04,"El prototipo debe permitir consultar el estado y la ubicación de al menos un equipo de forma unificada, combinando datos de ambas plataformas.","/maquinaria/{id} en apps/api/app/dashboard/views.py (equipment_detail) con evidence_views.py (source_comparison, location_facts, maintenance_facts): estado administrativo y mantenimiento de Prisma, tarea y visita de Startrack conservadas en el registro, recepción declarada y ubicación fechada o «no verificable». GET /api/v1/hub (equipment[].transfers, location, provenance) y GET /api/v1/graph (gaps.machine_location, coverage). Pruebas: apps/api/tests/test_evidence_views.py, test_graph.py, test_hub_evidence_concordance.py.","/maquinaria/{id}?mode=fixture (por ejemplo CF-03, nexus:equipment:66faacde-728c-4378-8b46-dbfb38254e03); grafo de portada /?mode=fixture seleccionando PROY-014; GET /api/v1/graph?mode=fixture.",parcial,"La vista combina ambas fuentes, pero ningún registro suministrado tiene evidencia de las dos: la muestra no trae tareas, visitas GPS ni recepciones y el acceso API de Startrack de la cuenta no está validado (403). El jurado ve hechos de Prisma y faltantes explícitos, no una ubicación observada. Acción: cadena live verificada (PROY-006) con tarea y visita reales, conservando IDs; no inventar registros."
RF-05,"El prototipo debe reflejar visualmente al menos un caso donde el estado del equipo difiere entre Prisma y Startrack, y cómo se resuelve.","Regla «OCUPADA en Prisma y tarea completada en Startrack coexisten» en apps/api/app/dashboard/evidence_views.py (interpretation_section) con pruebas en apps/api/tests/test_evidence_views.py; tensión obsolete_with_approved_request en apps/api/app/services/graph.py; estados por objeto en docs/equivalencias-prisma-startrack.md (sección «Fechas, unidades y estados separados», output/matrices/estados-separados.csv); diagrama 6 docs/assets/entregables/diagrama-estados.svg.","/maquinaria/{id}?mode=fixture de CF-03 (OBSOLETA en Prisma con solicitud APROBADA: se muestra como tensión, no se «corrige»); GET /api/v1/graph?mode=fixture (tensions); docs/entregables-visuales.md, diagrama 6.",parcial,"Con la muestra el caso compara solo hechos de Prisma; la regla Ocupada y Completada se ejercita con casos aislados de prueba, no con datos servidos. Acción: el mismo caso live de RF-04; en la demo decirlo así y no introducir una tarea inventada."
RF-06,"Documentar al menos un indicador operativo que la integración haría visible por primera vez, por ejemplo tiempo de equipo fuera de geocerca sin justificación.","Definición única de «tiempo fuera de geocerca sin justificación» en docs/entregables-visuales.md (sección RF-06: unidad, cálculo, datos necesarios, decisión, resultado no evaluable). Ocho indicadores calculables por fila en apps/api/app/services/indicators.py (approval_time, open_request_age, approved_with_unit_without_sent_task, occupied_without_project, assignment_ended, completed_task_without_receipt, active_failure_registered, evidence_age) con fichas y SLA propuestos S1–S6 en docs/indicadores-calculables.md; pruebas en apps/api/tests/test_indicators.py.","/indicadores?mode=fixture («Indicadores y SLA»: fichas por fila con estado evaluable, parcial o no evaluable, motivo y el SLA propuesto al lado); GET /api/v1/indicators?mode=fixture; dossier PDF, ficha RF-06 (páginas 14 a 16).",cumple,"RF-06 no es calculable con la muestra (resultado no evaluable, no cero); los indicadores publicados describen filas de la lectura acotada, no la flota, y los umbrales de SLA están «a validar con ECON». Acción: no presentar promedios ni porcentajes."
RNF-01,Toda exploración y prueba exclusivamente sobre el entorno sandbox y los datasets sintéticos provistos por Grupo ECON.,"Muestras con hash del documento en apps/api/app/integrations/data/sandbox_samples.json; ALLOW_LIVE_READS, ALLOW_LIVE_WRITES y AUTO_QUEUE_TRANSFERS en false por defecto (apps/api/app/core/config.py); conectores con origen fijo https://econ-key.maic.ai y https://staging.gps.gt/api (apps/api/app/integrations/nexus.py, startrack.py, http.py); evidence_kind provided_sample, live_read o test_case en apps/api/app/models/hub.py; pruebas apps/api/tests/test_security.py, test_nexus.py, test_startrack.py.","/fuentes?mode=fixture (procedencia, alcance y estado de cada fuente); cada ficha lleva «Datos sintéticos».",cumple,"Ninguna. Mantener la distinción fixture, live y caso de prueba en cada captura, cifra y demostración."
RNF-02,"La matriz de mapeo y la de responsabilidades en formato legible y reutilizable (hoja de cálculo o tabla estructurada), no solo texto libre.","scripts/docs/exportar_matrices.py copia las tablas Markdown de docs/equivalencias-prisma-startrack.md y de esta matriz a output/matrices/*.csv (17 CSV UTF-8 con cabecera) y output/matrices/matrices-econ.xlsx (openpyxl 3.1.5, una hoja por tabla), con manifest.json y MANIFEST.md (SHA-256 del origen y de cada archivo); --check en scripts/check.sh y en CI.",output/matrices/MANIFEST.md; abrir matrices-econ.xlsx; guía en README.md («Cómo revisar las matrices»).,cumple,"El PDF output/pdf/ECON-diccionario-mapeo-y-manual-integracion.pdf (34 páginas, 12/09/2026) no tiene generador y no se regenera; el formato reutilizable vigente es Markdown más CSV/XLSX. Acción: regenerar tras cada edición (CI lo exige)."
RNF-03,"Prototipo como dashboard, aplicación web o modelo de datos con interfaz mínima; navegable por el jurado.","Aplicación Dash y FastAPI en un proceso (apps/api/app/main.py); páginas en la tabla PAGES de apps/api/app/dashboard/views.py; accesibilidad por teclado en docs/frontend-architecture.md (sección «Accesibilidad»); capturas a 1280 y 390 px en docs/screenshots/2026-09-13-*.png; pruebas de callbacks y navegación en apps/api/tests/test_dashboard.py, test_workflow_ui.py y test_auth_ui.py.",http://127.0.0.1:8050/ tras /login; guion de diez pasos en README.md («Guion de demo para el jurado»).,cumple,Navegabilidad y completitud de datos son dimensiones distintas: los faltantes de RF-04 y RF-05 siguen visibles. Acción: ensayar el guion sobre la entrega final.
RNF-04,Repositorio o carpeta de entrega con README que explique cómo revisar el prototipo y las matrices.,"README.md (Inicio, Recorrido, Guion de demo para el jurado, Cómo revisar las matrices, Sesión y roles, Verificar y desplegar), docs/README.md (índice) y apps/api/README.md; enlaces relativos comprobados.",README.md.,cumple,Mantener los enlaces y los encabezados cuando cambien los documentos.
