Campo del formulario,Prisma: campo exacto o ausencia,Modelo normalizado / regla de ECON,Campo API de Startrack,Clasificación y alcance
Fecha programada,"Solicitud.fecha_inicio inicia el uso solicitado, no la ejecución del traslado.",RequestRecord.starts_on queda separado; TransferMapping.scheduled_date debe indicarse expresamente.,start_date,"Manual; implementada, fecha AAAA-MM-DD."
Hora de fecha programada,La solicitud no tiene hora de traslado.,TransferMapping.scheduled_time; la UI acepta HH:MM y la acción normaliza segundos.,start_time,"Manual; implementada, opcional, HH:MM:SS."
Completar antes de,Solicitud.fecha_fin finaliza el uso solicitado. No establece un plazo de traslado.,RequestRecord.ends_on no se convierte en vencimiento.,No documentado en Job.,Sin equivalente y no soportado. No inventar end_date ni deadline.
Hora de Completar antes de,No disponible.,Sin campo normalizado para ese plazo.,No documentado en Job.,No soportado; requiere contrato y decisión de negocio.
Origen,Equipo.project_id es asignación administrativa; no prueba el punto de salida actual.,No hay origen en TransferMapping ni StartrackTaskDraft.,No documentado como origen de Job.,Sin equivalente y no soportado. No inventar origin_poi_id; una segunda tarea exigiría modelar otra operación expresamente.
Destino,"Solicitud.project_id, project_name; opcionalmente Proyecto.id, name.",RequestRecord.project_id + correspondencia explícita TransferMapping.poi_id.,poi_id,"Manual; implementada. ECON valida presencia en catálogo, no deduce el vínculo por nombre."
El usuario debe estar en la Geocerca para completar la tarea,No existe esa condición en la solicitud.,Sin campo de mapeo/borrador.,No documentado en Job.,No soportado. required_form_ids no activa esta condición.
Latitud,"No está en Solicitud/Proyecto consultados. El historial de maquinaria sí documenta gps_latitude, nullable, para otro evento.",No hay coordenada de destino en el mapeo. StartrackPoi actual tampoco conserva geometría.,"POI.y para geocerca; Job.completed_lat / Job.y corresponden a finalización, no a destino planificado.",Sin equivalente directo; geometría no implementada. No copiar una coordenada histórica ni de cierre al destino.
Longitud,"Mismo límite; el historial puede contener gps_longitude, nullable.",Sin coordenada normalizada de destino.,POI.x para geocerca; Job.completed_lon / Job.x corresponden a finalización.,Sin equivalente directo; geometría no implementada.
Dirección o referencia,Proyecto.description puede ser solo una ciudad. Solicitud.comentarios no es una dirección estructurada.,Sin lector de proyectos en ECON; la descripción del proyecto no se lee y no pasa al borrador.,address,"Manual; documentado, no soportado por el borrador actual. No geocodificar por suposición."
Ventana horaria de entrega: de,No disponible; inicio de uso no fija una ventana de llegada.,Sin campo.,No documentado en Job.,No soportado. No reutilizar start_time con otro significado.
Ventana horaria de entrega: a,No disponible; fin de uso no fija una ventana de llegada.,Sin campo.,No documentado en Job.,No soportado.
Duración / Minutos,No hay duración estimada del traslado. minimum_usage_hours pertenece al uso del equipo.,Sin campo en borrador; una futura conversión tendría que aplicar minutos × 60.,duration,"Transformada si se incorpora; hoy solo documentada. La unidad API es segundos, no horas de uso ni diferencia entre fechas de solicitud."
