Sección,Campo del formulario,Prisma: campo exacto o ausencia,Modelo normalizado / regla de ECON,Campo API de Startrack,Clasificación y alcance
"Identificación, contenido y estado",Detalles,No es un dato de Prisma.,Sección de presentación.,Ninguno.,"Sin equivalente; pestaña, no propiedad de Job."
"Identificación, contenido y estado",Título *,"Equipo.clave, no_activo, nombre; Solicitud.project_name, project_id.","EquipmentRecord.code, asset_number, name; RequestRecord.project_name, project_id → texto «Traslado de … a …», máximo 255 caracteres.",objective,"Transformada; implementada. El texto ayuda a leer, no se usa para unir fuentes."
"Identificación, contenido y estado",ID remoto,No hay referencia de movimiento en la solicitud.,TransferMapping.movement_reference → StartrackTaskDraft.remote_id.,remote_id,"Manual; implementada. Obligatoria en ECON, sin unicidad remota garantizada."
"Identificación, contenido y estado",Descripción,"Solicitud.comentarios y los UUID de solicitud, maquinaria y proyecto.",RequestRecord.comments conserva comentarios. El borrador actual genera una descripción con los tres UUID y la referencia del movimiento; no copia los comentarios.,description,Transformada; implementada para trazabilidad. Trasladar observaciones del PM sería una ampliación.
"Identificación, contenido y estado",Tipo,Solicitud.tipo es clase de maquinaria; no categoría de tarea.,RequestRecord.machinery_type queda separado. TransferMapping.job_type_id se elige del catálogo de tareas.,job_type_id,"Manual; opcional en API de ECON/SDK, sin control visible en el formulario simplificado actual. «Cargador frontal» no se convierte en tipo «Traslado»."
"Identificación, contenido y estado",Estado / Pendiente,Solicitud.status; Equipo.estado.,Se conservan en RequestRecord.status y EquipmentRecord.machinery_status. El retorno de Startrack va a Movement.status y workflow_role.,status,Sin equivalencia de valores; lectura implementada. ECON no envía status al crear ni fuerza el «Pendiente» mostrado en la captura.
"Identificación, contenido y estado",Adjuntos,Ningún adjunto de solicitud en el contrato leído.,Sin campo de borrador ni carga de archivos en ECON.,files,Documentado en Job; no soportado por el flujo actual. No equivale automáticamente a evidencia de recepción.
"Identificación, contenido y estado",Actividad,"El historial de maquinaria tiene event_type, event_at, actor_user_id, entre otros; no es actividad de una tarea.",OperationEvent registra eventos propios y observaciones; no importa el historial completo de ninguna plataforma.,Sin una colección de actividad de Job en el contrato consultado.,Sin equivalente directo; no se copia historial de maquinaria como actividad de traslado.
Programación y ubicación,Fecha programada,"Solicitud.fecha_inicio inicia el uso solicitado, no la ejecución del traslado.",RequestRecord.starts_on queda separado; TransferMapping.scheduled_date debe indicarse expresamente.,start_date,"Manual; implementada, fecha AAAA-MM-DD."
Programación y ubicación,Hora de fecha programada,La solicitud no tiene hora de traslado.,TransferMapping.scheduled_time; la UI acepta HH:MM y la acción normaliza segundos.,start_time,"Manual; implementada, opcional, HH:MM:SS."
Programación y ubicación,Completar antes de,Solicitud.fecha_fin finaliza el uso solicitado. No establece un plazo de traslado.,RequestRecord.ends_on no se convierte en vencimiento.,No documentado en Job.,Sin equivalente y no soportado. No inventar end_date ni deadline.
Programación y ubicación,Hora de Completar antes de,No disponible.,Sin campo normalizado para ese plazo.,No documentado en Job.,No soportado; requiere contrato y decisión de negocio.
